Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
ANNONVILLE,52,L'extension des réseaux d'électricité et de télécommunication en vue d'alimenter un pavillon à l'extrémité du village,7120,3000,SIDO Bruno,Sénat
ANNONVILLE,52,L'aménagement du cimetière,7000,2000,SIDO Bruno,Sénat
ANOR,59,L'acquisition de matériel informatique,3160,1500,PERAT Jean-Luc,Assemblée nationale
ANOULD,88,Travaux d'amélioration de la qualité de l'eau sur le réseau de Develines,500000,20000,CHERPION Gérard,Assemblée nationale
ANQUETIERVILLE,76,La mise en sécurité du centre bourg aux abords de l'école,141950,10000,REVET Charles,Sénat
ANSAC-SUR-VIENNE,16,L'aménagement d'un espace de loisirs et de sports au stade municipal,125311,8000,CARRERE Jean-Louis,Sénat
ANTAGNAC,47,L'aménagement et la sécurisation du village,30337,5000,HERVIAUX Odette,Sénat
ANTHE,47,L'extension et l'aménagement de la salle des fêtes,260000,12000,CAHUZAC Jérôme,Assemblée nationale
ANTIBES,6,Le transfert de la pépinière municipale (2ème tranche),447324,200000,-,Réserve ministérielle
ANTILLY,57,L'aménagement de la place et de la traversée du village,243054,10000,ZIMMERMANN Marie-Jo,Assemblée nationale
ANZEME,23,L'aménagement des abords de la salle polyvalente,21990,9000,VERGNIER Michel,Assemblée nationale
ANZEME,23,L'équipement de la salle polyvalente,21502,10000,CARTRON Françoise,Sénat
ANZEX,47,"La rénovation, l'extension et la mise aux normes d'accessibilité de la salle des fêtes et de la mairie",129500,10000,DIEFENBACHER Michel,Assemblée nationale
AOUZE,88,"L'aménagement de trottoirs, Grande Rue",79554,3000,GAULTIER Jean-Jacques,Assemblée nationale
APATOU,973,La mise en sécurité des accès de la salle 11 et des sanitaires secondaires de l'école Lambert Amayota,22497,10000,ASSOULINE David,Sénat
APPRIEU,38,L'aménagement d'un point lecture-bibliothèque dans l'ancienne caserne des pompiers,201336,10000,SAUGEY Bernard,Sénat
APREMONT-SUR-AIRE,8,"La modification de l'entrée principale du logement communal situé 1, Grande Rue",6766,3382,LAMENIE Marc,Sénat
APREMONT-SUR-ALLIER,18,La réfection de l'éclairage public,13750,1379,COSYNS Louis,Assemblée nationale
APREMONT-SUR-ALLIER,18,Une étude de zonage d'assainissement,2740,1000,COSYNS Louis,Assemblée nationale
ARACHES-LA-FRASSE,74,La rénovation des sanitaires de l'ancienne école de La Frasse,32609,5000,SADDIER Martial,Assemblée nationale
ARAMON,30,Travaux de sécurisation et l'aménagement de la voirie à la sortie de l'école primaire François Rabelais,52544,5000,MICHEL Jean-Pierre,Sénat
ARANC,1,L'acquisition d'un défibrillateur cardiaque automatique,1531,765,GOY-CHAVENT Sylvie,Sénat
ARANC,1,L'aménagement d'une ancienne salle de réunion de la mairie en restaurant scolaire,33023,7000,REINER Daniel,Sénat
ARAULES,43,L'assainissement du village de Montbuzat,112713,15000,-,Réserve ministérielle
ARBECEY,70,L'installation de radars pédagogiques aux entrées du village et la mise en place d'un passage piéton avant le nouvel abribus,9506,3000,MARC François,Sénat
ARBOIS,39,La mise en accessibilité des caves de l'Hôtel de Ville,14040,3000,SERMIER Jean-Marie,Assemblée nationale
ARBOIS,39,La réfection de la rue Chauvin,30579,10000,SERMIER Jean-Marie,Assemblée nationale
ARBOIS,39,La restauration des tableaux et la peinture des salles du musée d'art,9697,1800,BAILLY Gérard,Sénat
ARBONNE,64,La réhabilitation d'un bâtiment communal en salle polyvalente,96930,17595,JEANNEROT Claude,Sénat
ARBOUANS,25,Le remplacement des menuiseries de la salle polyvalente,43328,4000,HUMBERT Jean-François,Sénat
ARBRISSEL,35,"L'effacement des réseaux, route de Visseiche (RD310)",14416,7000,de LEGGE Dominique,Sénat
ARBUS,64,La restauration intérieure de l'église,223652,2000,LIGNIERES-CASSOU Martine,Assemblée nationale
ARCAY,18,La construction de vestiaires sportifs,93191,10000,POINTEREAU Rémy,Sénat
ARCEY,25,L'extension de l'école primaire,370982,10000,HERVIAUX Odette,Sénat
ARCHAMPS,74,L'acquisition de mobilier pour l'auberge communale,63486,15000,CARLE Jean-Claude,Sénat
ARCHIGNY,86,Le remplacement du mobilier de la cantine scolaire,4563,2281,FOUCHE Alain,Sénat
ARCINS-EN-MEDOC,33,L'enfouissement des réseaux de télécommunications et d'éclairage public (tranche 3),72945,10000,PINTAT Xavier,Sénat
ARCON,25,L'acquisition de divers équipements pour l'accueil péri et extra-scolaire,9101,2758,GENEVARD Annie,Assemblée nationale
ARCON,42,L'aménagement de la voie communale n° 101,48721,5000,NICOLIN Yves,Assemblée nationale
ARCONCEY,21,La rénovation de logements communaux situés au 1er étage de la mairie et de l'école,227011,15000,SUGUENOT Alain,Assemblée nationale
ARCONCEY,21,La réfection de la voirie (programme 2012) rues de Proleux et de la Forge et chemins des Ponts et de la Colombière,69035,2000,HOUPERT Alain,Sénat
ARC-SUR-TILLE,21,La restauration de l'église Saint-Martin (1ère tranche),362070,50000,-,Réserve ministérielle
ARCUEIL,94,L'extension de la crèche multi-accueil Marie-Claude Vaillant Couturier,72320,35000,LE BOUILLONNEC Jean-Yves,Assemblée nationale
ARCUEIL,94,La numérisation de la radiologie du centre municipal de santé Maï Politzer,498334,10000,LE MENN Jacky,Sénat
ARCUEIL,94,L'amélioration du confort thermique de la médiathèque Louis Pergaud,83600,35000,PLACE Jean-Vincent,Sénat
ARDENTES,36,L'acquisition d'un véhicule utilitaire électrique,14336,5000,PINTON Louis,Sénat
ARDRES,62,La construction d'une passerelle et de ponts sur le site du lac,97633,7500,WATRIN Dominique,Sénat
