Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
LE THILLOT,88,La construction d'une véranda en extension de la crèche L'Ile aux Enfants,67113,20000,VANNSON François,Assemblée nationale
LE THORONET,83,L'aménagement de la place Louis Rainaud,69599,10000,COUVE Jean-Michel,Assemblée nationale
LE TILLEUL-LAMBERT,27,"L'aménagement de l'éclairage public, impasse de la Grange",490,240,PONIATOWSKI Ladislas,Sénat
LE TOUQUET-PARIS-PLAGE,62,L'aménagement d'un forum sur la place du Centenaire,156800,50000,FASQUELLE Daniel,Assemblée nationale
LE TREHOU,29,L'extension et la restructuration de l'école,275472,30000,MARC François,Sénat
LE TREMBLAY,49,La construction d'une salle communale,110100,15000,BOSSE Joseph,Assemblée nationale
LE TREMBLAY-OMONVILLE,27,L'aménagement de logements locatifs dans l'ancien presbytère,108115,10000,NICOLAS Jean-Pierre,Assemblée nationale
LE TRONQUAY,14,"La réfection de la toiture et de la façade, côté cour, du bâtiment de l'ancienne mairie",23130,10000,LEFRANC Jean-Marc,Assemblée nationale
LE TRONQUAY,14,"Travaux d'assainissement pluvial aux lieux-dits ""route de Campigny"", ""la Longue-Rue"", ""la Ferme"" et ""le Bas-Hamel""",29078,2000,DUPONT Jean-Léonce,Sénat
LE TRONQUAY,27,Travaux d'éclairage public au Grand Fray,937,450,PONIATOWSKI Ladislas,Sénat
LE VALTIN,88,La réhabilitation de la ferme Pierré,273009,30000,CHERPION Gérard,Assemblée nationale
LE VAST,50,La réfection de la voirie (programme 2012),136079,8000,CAZENEUVE Bernard,Assemblée nationale
LE VAUMAIN,60,La restauration de l'orgue de l'église,7092,3546,MANCEL Jean-François,Assemblée nationale
LE VAUROUX,60,L'acquisition d'une tondeuse et d'un souffleur à feuilles,2591,1100,MANCEL Jean-François,Assemblée nationale
LE VERDON-SUR-MER,33,La réfection de la toiture du restaurant scolaire,34942,5000,PINTAT Xavier,Sénat
LE VERMONT,88,Le remplacement des volets du bâtiment mairie-logements,7734,3000,ACCOYER Bernard,Assemblée nationale
LE VERNET,3,"L'aménagement du parking à l'arrière de la mairie, des rues du centre de Barantan, des rues du bourg, secteur 1, et d'une liaison douce Barentan-bourg",566500,12000,CHARASSE Gérard,Assemblée nationale
LE VERNET-SAINTE-MARGUERITE,63,L'assainissement du hameau de Mareuge et la réhabilitation des réseaux d'alimentation en eau potable et d'eaux pluviales,1153000,23600,GISCARD d'ESTAING Louis,Assemblée nationale
LE VIGAN,30,La réhabilitation de l'avenue Emmanuel d'Alzon,390000,5000,FOURNIER Jean-Paul,Sénat
LE VRETOT,50,La construction d'un local commercial,330000,10000,GATIGNOL Claude,Assemblée nationale
LEBETAIN,90,La rénovation de la salle de classe,19699,8000,CHEVENEMENT Jean-Pierre,Sénat
LEBEUVILLE,54,La réhabilitation du logement communal locatif de l'école,112008,5000,HUSSON Jean-François,Sénat
LECHATELET,21,La pose d'une grille ronde autour du Monument aux Morts,8843,1768,HOUPERT Alain,Sénat
LECHELLE,77,L'acquisition de mobilier et de matériel informatique pour le secrétariat de la mairie,4063,2000,JACOB Christian,Assemblée nationale
LECT,39,"L'installation d'une rampe de mise à l'eau au bord du lac de Vouglans au lieu-dit ""Les Plans""",94125,5000,BAILLY Gérard,Sénat
LEDIGNAN,30,La mise en sécurité d'une partie de la voirie,24519,7000,DUMAS William,Assemblée nationale
LEFAUX,62,L'aménagement de l'éclairage public rues de la Tour et du Point du Jour,121476,4000,FASQUELLE Daniel,Assemblée nationale
LEFFARD,14,"L'installation d'une réserve incendie au lieu-dit ""La Coquerie""",11199,2500,LETEURTRE Claude,Assemblée nationale
LEGE,44,La rénovation et la mise en accessibilité aux personnes à mobilité réduite des salles des Visitandines (2ème tranche),224566,17000,GUERRIAU Joël,Sénat
LEGNY,69,La construction d'une micro-crèche,319200,15000,DINI Muguette,Sénat
LEIGNE-LES-BOIS,86,La réhabilitation du réseau d'assainissement et le renouvellement de la station de traitement des eaux usées du bourg,253485,15000,ABELIN Jean-Pierre,Assemblée nationale
LEIGNES-SUR-FONTAINE,86,"L'intégration des réseaux téléphoniques et de l'éclairage public, place de la Mairie",25618,5000,FOUCHE Alain,Sénat
LEIGNES-SUR-FONTAINE,86,L'aménagement et la mise en sécurité et en accessibilité des abords de la mairie,42940,10000,FOUCHE Alain,Sénat
LEIGNES-SUR-FONTAINE,86,L'aménagement d'une aire de pêche accessible aux personnes à mobilité réduite au plan d'eau communal,20300,5000,FOUCHE Alain,Sénat
LEIGNES-SUR-FONTAINE,86,La mise en conformité du groupe scolaire et la création d'une classe supplémentaire,112351,20000,FOUCHE Alain,Sénat
LELLING,57,L'acquisition d'un tracteur,11500,4000,LE MENN Jacky,Sénat
LEMBERG,57,La restauration de l'église Saint-Maurice (3ème tranche),64670,7500,LETT Céleste,Assemblée nationale
LEMBERG,57,L'installation de nouvelles boiseries dans le choeur de l'église Saint-Maurice,20999,3000,LEROY Philippe,Sénat
LEMONCOURT,57,La réfection du mur d'enceinte du cimetière,10929,2000,MASSON Jean-Louis,Sénat
LEMPIRE,2,L'édification d'un Monument aux Morts,2674,1330,BERTRAND Xavier,Assemblée nationale
LEMPTY,63,La construction d'une station d'épuration et d'un réseau d'assainissement au Village du Puy,330138,5000,CHASSAIGNE André,Assemblée nationale
LEMPZOURS,24,L'acquisition de tentes de réception et de planchers destinés à l'organisation de manifestations culturelles,5702,2000,LANGLADE Colette,Assemblée nationale
LEMUD,57,L'acquisition et l'installation de jeux à l'école l'Arche de Noé,7568,3784,ZIMMERMANN Marie-Jo,Assemblée nationale
LENAX,3,La réhabilitation de la salle socio-culturelle,147599,3500,CHAMBEFORT Guy,Assemblée nationale
LENGELSHEIM,57,Le remplacement de poteaux d'incendie,8823,2500,LE MENN Jacky,Sénat
LENHARREE,51,"L'effacement de réseaux et la construction de trottoirs, rues de l'Etang et du Moulin",192645,12200,de COURSON Charles,Assemblée nationale
LENING,57,La réfection de la toiture de la salle polyvalente,36042,4000,LE MENN Jacky,Sénat
LENS-LESTANG,26,La réfection du mur du cimetière,102496,3000,THORAVAL Marie-Hélène,Assemblée nationale
LENT,1,"L'aménagement d'un parking public, place de la Poste",48720,5000,VOISIN Michel,Assemblée nationale
LENTILLAC-DU-CAUSSE,46,La mise en conformité et en accessibilité de la mairie et de la salle des fêtes,237479,11000,BRICQ Nicole,Sénat
LEPAUD,23,La mise aux normes de la salle polyvalente,14410,5000,-,Réserve ministérielle
LEPINAS,23,La construction d'un atelier communal,53052,10000,-,Réserve ministérielle
LEPUIX-GY,90,L'aménagement de la cour de l'école élémentaire,27377,10000,CHEVENEMENT Jean-Pierre,Sénat
LEPUIX-NEUF,90,"La réfection des trottoirs, rue du Jura",18009,9000,-,Réserve ministérielle
LEPUIX-NEUF,90,La réfection des façades de l'ancienne gare,6800,3000,CHEVENEMENT Jean-Pierre,Sénat
LEREN,64,La construction d'un auvent attenant à la salle des fêtes,16636,3327,LASSERRE Jean-Jacques,Sénat
LERM-ET-MUSSET,33,La réhabilitation du logement communal situé dans l'ancien presbytère,163099,7000,CESAR Gérard,Sénat
LERZY,2,L'acquisition de matériel et logiciels informatiques et de mobilier de bureau,3070,1500,JEANNEROT Claude,Sénat
LES ADJOTS,16,La rénovation de bâtiments communaux (programme 2011),13370,5000,LAMBERT Jérôme,Assemblée nationale
LES AGEUX,60,L'acquisition de matériel et de mobilier pour le nouveau pôle socio-culturel et sportif,60013,15000,MARINI Philippe,Sénat
LES ALLUETS-LE-ROI,78,La mise en place d'un système de vidéo-protection,87538,10000,LARCHER Gérard,Sénat
LES ARDILLATS,69,La construction d'un bâtiment à usage de cantine scolaire et de garderie périscolaire,350000,15000,PERRUT Bernard,Assemblée nationale
LES ATTAQUES,62,La construction d'un vestiaire avec sanitaires et douches et d'un local pour les arbitres au stade municipal,619990,3000,COCQUEMPOT Gilles,Assemblée nationale
LES AUTELS-SAINT-BAZILE,14,La restauration des retables de l'église,3230,650,GARREC René,Sénat
LES AUTHIEUX,27,L'aménagement d'un petit square avec une aire de jeux,28917,4000,LEFRAND Guy,Assemblée nationale
LES AUTHIEUX,27,Le remplacement d'un ordinateur,1399,500,PONIATOWSKI Ladislas,Sénat
LES AUTHIEUX,27,L'édification d'un columbarium,4863,1500,PONIATOWSKI Ladislas,Sénat
LES BARTHES,82,Travaux d'aménagement du coeur du village,394009,5000,BAYLET Jean-Michel,Sénat
LES BAUX-DE-PROVENCE,13,La réfection de la toiture-terrasse du café communal et d'une partie de la toiture de l'église,19991,8000,REYNES Bernard,Assemblée nationale
LES BORDES-AUMONT,10,La réfection intérieure de la salle polyvalente,10461,2500,MATHIS Jean-Claude,Assemblée nationale
LES CARS,87,L'acquisition de matériel pour les services techniques,59135,29567,REINER Daniel,Sénat
LES CHATELETS,28,L'aménagement des abords de la salle des fêtes,43303,9000,-,Réserve ministérielle
LES CLUSES,66,"L'extension de la salle polyvalente, espace RN9",167000,9000,-,Réserve ministérielle
LES DAMPS,27,L'extension du columbarium,3982,1990,BOURDIN Joël,Sénat
LES ECHELLES,73,La sécurisation de la route départementale n°1006 (2ème tranche),106980,30000,-,Réserve ministérielle
LES EGLISOTTES,33,L'extension du cimetière,69780,6000,CARTRON Françoise,Sénat
LES ESSARDS,37,La sécurisation du centre bourg,86683,10000,BRIAND Philippe,Assemblée nationale
LES ESSARDS,16,L'aménagement de l'entrée nord jusqu'à la mairie (1ère tranche),181170,10000,SUEUR Jean-Pierre,Sénat
LES ESSARTS-LE-ROI,78,La réhabilitation de l'ancienne mairie et de la salle Barreau,729812,10000,MICHEL Jean-Pierre,Sénat
LES ETILLEUX,28,Le remplacement de menuiseries à la salle des fêtes et à la mairie,15996,7650,ACCOYER Bernard,Assemblée nationale
LES ETILLEUX,28,"Le renforcement du réseau d'eau potable, rue de Souancé et route de Nogent",75927,5000,BILLARD Joël,Sénat
LES FESSEY,70,La reconstruction du pont de la Prairie,18370,5000,RAISON Michel,Assemblée nationale
LES FINS,25,La construction d'une résidence pour personnes âgées,1707250,15000,BINETRUY Jean-Marie,Assemblée nationale
LES FONTENELLES,25,La restauration des fontaines,60360,10000,BINETRUY Jean-Marie,Assemblée nationale
LES GRANDES-ARMOISES,8,La réfection de la façade de la mairie,4944,2472,LAMENIE Marc,Sénat
LES GRANGES-GONTARDES,26,La construction d'un groupe scolaire,1550000,10000,REYNIER Franck,Assemblée nationale
LES GRANGES-LE-ROI,91,La construction d'une médiathèque,261501,15000,LE MENN Jacky,Sénat
LES GRANGETTES,25,La restauration des façades de l'église,19140,3828,JEANNEROT Claude,Sénat
LES GUERREAUX,71,La réfection du chemin rural dit de Grandchamp et de la voie communale n°1 des Grands-Marions,13021,4000,EMORINE Jean-Paul,Sénat
LES HAIES,69,"L'acquisition de matériel informatique, d'un tableau interactif et d'un vidéo-projecteur pour l'école primaire",9152,3500,DURAND Raymond,Assemblée nationale
LES HERMITES,37,L'aménagement d'une aire de jeux et de rencontres,96359,20000,LANCELIN Raymond,Assemblée nationale
LES HOPITAUX-NEUFS,25,L'extension de l'école maternelle et l'aménagement de classes supplémentaires,1195000,15000,BINETRUY Jean-Marie,Assemblée nationale
LES LANDES-GENUSSON,85,L'extension et le réaménagement du complexe sportif,944654,15000,BESSE Véronique,Assemblée nationale
LES LAUBIES,48,La réhabilitation de l'ancienne école du Mazel en salle multiculturelle,195304,25000,-,Réserve ministérielle
LES LILAS,93,La réfection des cours du groupe scolaire Romain Rolland,248900,5000,BARTOLONE Claude,Assemblée nationale
LES MAGES,30,La réalisation d'une fresque murale sur la façade de l'église,14370,5000,LAURENT-PERRIGOT Françoise,Sénat
LES MAILLYS,21,L'acquisition d'un tableau interactif et d'un ordinateur pour l'école primaire,4494,2000,HOUPERT Alain,Sénat
LES MARTRES-DE-VEYRE,63,L'aménagement de la zone de loisirs de l'Espinasse,550000,10000,ASSOULINE David,Sénat
LES MOLIERES,91,La réfection de la toiture de la salle polyvalente du Paradou,25821,5000,MARC François,Sénat
LES MOLIERES,91,L'installation géothermique au sein de l'espace Guy-Jean Baptiste Target,95000,10000,PLACE Jean-Vincent,Sénat
LES MONTILS,41,La rénovation des façades de la mairie,61987,6000,GOURAULT Jacqueline,Sénat
LES MOUSSIERES,39,La restauration de la toiture du clocher de l'église,89000,10000,DALLOZ Marie-Christine,Assemblée nationale
LES MOUSSIERES,39,"La rénovation de la toiture du préau de la mairie, des auvents et des volets",12777,4000,BAILLY Gérard,Sénat
LES MOUTIERS-HUBERT,14,La restauration du calvaire,1276,500,DUPONT Ambroise,Sénat
LES NANS,39,L'aménagement de la mairie (tranche ferme n°2),59700,11000,DALLOZ Marie-Christine,Assemblée nationale
LES OLLIERES-SUR-EYRIEUX,7,"L'aménagement d'un parking, place de la Gare",13432,4000,TERRASSE Pascal,Assemblée nationale
LES PAVILLONS-SOUS-BOIS,93,La rénovation du gymnase Léo Lagrange,2268638,80000,DALLIER Philippe,Sénat
LES PAVILLONS-SOUS-BOIS,93,La réfection de la terrasse de la salle des fêtes municipale,98887,40000,DALLIER Philippe,Sénat
LES PETITES-ARMOISES,8,La réfection du plafond de l'église,6993,3000,-,Réserve ministérielle
LES PIEUX,50,La réfection et la mise en accessibilité de la salle du conseil municipal,100334,15000,GATIGNOL Claude,Assemblée nationale
LES PINS,16,La réfection d'une ancienne salle de classe,39546,3000,CARRERE Jean-Louis,Sénat
LES PLANTIERS,30,La réfection du mur du cimetière,15168,3000,MICHEL Jean-Pierre,Sénat
LES QUATRE-ROUTES-DU-LOT,46,L'édification d'un columbarium et d'une stèle au sein de l'espace jardin du souvenir et l'aménagement d'un dépositoire,9815,1600,REQUIER Jean-Claude,Sénat
LES RAIRIES,49,L'acquisition d'une partie d'un bâtiment industriel situé aux Lévrauderies,201350,10000,TAUGOURDEAU Jean-Charles,Assemblée nationale
LES RICEYS,10,La restauration des vitraux de l'église Saint-Jean-Baptiste de Ricey Haute Rive,57973,25000,MATHIS Jean-Claude,Assemblée nationale
LES RIVES,34,L'extension du réseau d'assainissement des eaux usées (RD 142),18000,9000,LECOU Robert,Assemblée nationale
LES RIVES,34,L'isolation de la petite salle du préau de l'école,24064,8000,BRUGUIERE Marie-Thérèse,Sénat
LES ROUGES-EAUX,88,La réhabilitation des logements du bâtiment mairie,185570,15000,ACCOYER Bernard,Assemblée nationale
LES SAINTES-MARIES-DE-LA-MER,13,L'aménagement de la promenade du bord de mer (tranche 5),1000000,20000,GILLES Bruno,Sénat
LES SAUVAGES,69,Le réaménagement du site sportif,98465,12000,LAMURE Elisabeth,Sénat
LES TAILLADES,84,"La réfection de la voirie, route des Grands Jardins",293637,15000,MILON Alain,Sénat
LES TOUCHES,44,L'acquisition d'équipements mobiliers pour le groupe scolaire,33389,16694,TRILLARD André,Sénat
LES TOUCHES-DE-PERIGNY,17,"L'aménagement d'un parking, place du 19 Mars 1962",60322,5000,BELOT Claude,Sénat
LES TOURAILLES,61,La construction de toilettes publiques,29500,7500,GOULET Nathalie,Sénat
LES TROIS-MOUTIERS,86,La restructuration du groupe scolaire (2ème phase),398000,30000,ABELIN Jean-Pierre,Assemblée nationale
LES ULMES,49,La construction d'une garderie périscolaire au groupe scolaire,171800,6000,PIRON Michel,Assemblée nationale
LES VASTRES,43,L'aménagement de l'accès au stade,9900,4950,-,Réserve ministérielle
LES VASTRES,43,La réfection de la voie communale n° 2 du Crosdo,146765,22000,ROCHE Gérard,Sénat
LES VENTES-DE-BOURSE,61,"Le remplacement des portes et des fenêtres de la mairie et de la salle des fêtes, la réfection des peintures de la salle des fêtes et l'installation d'un accès pour handicapés et le tubage de la cheminée du logement du presbytère",14526,3000,GOULET Nathalie,Sénat
LES VERCHERS-SUR-LAYON,49,L'acquisition de vidéoprojecteurs pour l'école,2598,1000,PLACE Jean-Vincent,Sénat
LESCAR,64,L'aménagement d'un terrain de football en revêtement synthétique au stade municipal,720000,4000,LIGNIERES-CASSOU Martine,Assemblée nationale
LESCHERES-SUR-LE-BLAISERON,52,La réfection de la toiture (2ème partie) et des façades de l'église,60171,3400,SIDO Bruno,Sénat
LESCHES,77,L'installation d'un système de chauffage dans l'église,15230,7615,BRUNEL Chantal,Assemblée nationale
LESCHES-EN-DIOIS,26,L'assainissement des eaux usées,523000,15000,REINER Daniel,Sénat
LESDINS,2,La construction d'un atelier communal,207016,15000,BERTRAND Xavier,Assemblée nationale
LESMONT,10,L'aménagement d'une voie d'accès et d'une placette de retournement des bus pour le futur pôle scolaire,135979,9000,ADNOT Philippe,Sénat
LESPERON,40,La consolidation et la restauration des maçonneries extérieures du clocher de l'église,180073,10000,CARRERE Jean-Louis,Sénat
LESPIELLE,64,"La réhabilitation du logement communal situé 10, route départementale",118433,10000,JEANNEROT Claude,Sénat
LESPINOY,62,La réfection de la toiture et le désamiantage de l'école,15000,2000,FASQUELLE Daniel,Assemblée nationale
LESQUERDE,66,La construction de caveaux communaux,13069,3000,SIRE Fernand,Assemblée nationale
LESSAC,16,La rénovation du Monument aux Morts et du bâtiment abritant les toilettes publiques,20148,2000,LAMBERT Jérôme,Assemblée nationale
LESSE,57,"L'aménagement d'une allée piétonne à l'entrée du village, le long de la route départementale 70",11525,5500,MARTY Alain,Assemblée nationale
