Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
AIX-EN-ERGNY,"La rénovation, l'extension et la mise en accessibilité de la mairie et de la salle communale",254435,15000,LE MENN Jacky,Sénat,"0,0589541533",62,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
AIX-EN-PROVENCE,La restructuration de la halle des sports du Val de l'Arc,251000,50000,JOISSAINS-MASINI Maryse,Assemblée nationale,"0,1992031873",13,UMP,http://2007.nosdeputes.fr/JOISSAINS-MASINI%20Maryse/xml
AIX-EN-PROVENCE,L'aménagement d'espaces extérieurs à la Pinette,190000,55000,JOISSAINS Sophie,Sénat,"0,2894736842",13,UMP,http://nossenateurs.fr/JOISSAINS%20Sophie/xml
AIX-LES-BAINS,La restructuration écologique du Tillet et l'aménagement d'un port à barques,1036660,150000,0,Réserve ministérielle,"0,1446954643",73,,
AIZANVILLE,L'aménagement de la place du village,49954,12000,GUENE Charles,Sénat,"0,2402210033",52,UMP,http://nossenateurs.fr/GUENE%20Charles/xml
AIZE,L'aménagement des abords de la salle polyvalente,32173,4200,FORISSIER Nicolas,Assemblée nationale,"0,1305442452",36,UMP,http://2007.nosdeputes.fr/FORISSIER%20Nicolas/xml
AIZELLES,La réhabilitation d'un logement de la mairie en plusieurs logements locatifs,123105,5000,LEFEVRE Antoine,Sénat,"0,0406157345",2,UMP,http://nossenateurs.fr/LEFEVRE%20Antoine/xml
AJAIN,La restructuration et la mise aux normes de la salle polyvalente,349029,9000,VERGNIER Michel,Assemblée nationale,"0,025785823",23,SRC,http://2007.nosdeputes.fr/VERGNIER%20Michel/xml
ALAINCOURT,Le remplacement des portails de l'école,7680,3840,BERTRAND Xavier,Assemblée nationale,"0,5",2,UMP,http://2007.nosdeputes.fr/BERTRAND%20Xavier/xml
ALAINCOURT,L'enfouissement des réseaux électriques et le renforcement de l'éclairage public (3ème tranche),32199,7000,RAISON Michel,Assemblée nationale,"0,2173980558",70,UMP,http://2007.nosdeputes.fr/RAISON%20Michel/xml
ALAIRAC,L'aménagement et la mise en sécurité du chemin du Moulin,56500,20000,CARTRON Françoise,Sénat,"0,3539823009",11,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
ALAIRAC,L'aménagement du terrain de football et de ses abords,24058,10000,HERVIAUX Odette,Sénat,"0,4156621498",11,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ALBA-LA-ROMAINE,"L'aménagement de l'entrée du village, RD 263, de la croisée Saint-Pierre au Pont d'Alba",148225,10000,HERVIAUX Odette,Sénat,"0,0674650025",7,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ALBAS,La consolidation de l'église,94980,18900,CARTRON Françoise,Sénat,"0,1989892609",11,SOC,http://nossenateurs.fr/CARTRON%20Françoise/xml
ALBE,La réfection de la toiture de l'école rue de l'Erlenbach,41827,8000,SITTLER Esther,Sénat,"0,1912640161",67,UMP,http://nossenateurs.fr/SITTLER%20Esther/xml
ALBERT,L'aménagement de la rue Marcel Vast,377161,40000,DEMILLY Stéphane,Assemblée nationale,"0,1060555041",80,NC,http://2007.nosdeputes.fr/DEMILLY%20Stéphane/xml
ALBERT,L'aménagement du secteur des étangs du vélodrome (2ème tranche),333350,100000,0,Réserve ministérielle,"0,2999850007",80,,
ALBIAC,La construction de la nouvelle mairie,136226,10000,MARC François,Sénat,"0,0734074259",46,SOC,http://nossenateurs.fr/MARC%20François/xml
ALETTE,L'aménagement de la RD 151 de la traversée de Toutendal (tranche ferme),407233,8000,VANLERENBERGHE Jean-Marie,Sénat,"0,0196447734",62,UDI,http://nossenateurs.fr/VANLERENBERGHE%20Jean-Marie/xml
ALGRANGE,L'aménagement d'un préau dans la cour de l'école Batzenthal,61298,4000,BRICQ Nicole,Sénat,"0,0652549838",57,SOC,http://nossenateurs.fr/BRICQ%20Nicole/xml
ALINCOURT,La réhabilitation de l'assainissement de la salle communale et du logement,11184,5000,POLETTI Bérengère,Assemblée nationale,"0,4470672389",8,UMP,http://2007.nosdeputes.fr/POLETTI%20Bérengère/xml
ALIXAN,"L'aménagement de la rue de la Tour Basse, de l'entrée de la place de la mairie et de la liaison sécurisée entre le centre historique et la place des écoles",294383,2500,THORAVAL Marie-Hélène,Assemblée nationale,"0,0084923382",26,UMP,http://2007.nosdeputes.fr/THORAVAL%20Marie-Hélène/xml
ALIXAN,La restauration des remparts (programme 2012),297360,45000,HERVIAUX Odette,Sénat,"0,1513317191",26,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ALLAINVILLE-AUX-BOIS,L'acquisition et l'installation de jeux pour enfants,15940,7970,LARCHER Gérard,Sénat,"0,5",78,UMP,http://nossenateurs.fr/LARCHER%20Gérard/xml
ALLAMPS,La réfection du Carré Militaire dans l'enceinte du cimetière,4400,2000,REINER Daniel,Sénat,"0,4545454545",54,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
ALLAN,La restructuration et l'extension du groupe scolaire (2ème et 3ème tranches),1024295,15000,REYNIER Franck,Assemblée nationale,"0,0146442187",26,UMP,http://2007.nosdeputes.fr/REYNIER%20Franck/xml
ALLARMONT,La réfection des réseaux d'eau potable et d'eaux usées et de l'égout de la fontaine Mathieu,107862,10000,ACCOYER Bernard,Assemblée nationale,"0,0927110567",88,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
ALLASSAC,La réfection de la charpente et de la toiture du foyer culturel,141952,10000,HERVIAUX Odette,Sénat,"0,0704463481",19,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
ALLAUCH,La modernisation des moyens numériques dans les groupes scolaires,64329,32164,CARRERE Jean-Louis,Sénat,"0,4999922275",13,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
ALLEGRE-LES-FUMADES,L'aménagement d'une place et d'une aire pour le tri sélectif du village,73253,5000,FOURNIER Jean-Paul,Sénat,"0,0682565902",30,UMP,http://nossenateurs.fr/FOURNIER%20Jean-Paul/xml
ALLEINS,L'installation d'une vidéo-surveillance au parking de la Vierge,12078,3000,REYNES Bernard,Assemblée nationale,"0,2483854943",13,UMP,http://2007.nosdeputes.fr/REYNES%20Bernard/xml
