date,heure,convocation,présent
2008-12-08,20:00,2008-12-02,Mme Sourigues Angéline
2008-12-08,20:00,2008-12-02,M. Dupouy Serge
2008-12-08,20:00,2008-12-02,M. Fornier de Lachaux Jean
2008-12-08,20:00,2008-12-02,M. Lassalle Jean-Pierre
2008-12-08,20:00,2008-12-02,Mme Schaerer Fabienne
2008-12-08,20:00,2008-12-02,M. Marchal Alain
2008-12-08,20:00,2008-12-02,M. Laporte Gilles
2008-12-08,20:00,2008-12-02,Mme Gardeils Valérie
2008-12-08,20:00,2008-12-02,M. Martinez Laurent
2008-12-08,20:00,2008-12-02,Mme Gillet Nelly
2009-12-08,20:00,2009-12-03,M. Fourcade Michel
2009-12-08,20:00,2009-12-03,M. Blanc-Simon Jean-Luc
2009-12-08,20:00,2009-12-03,Mme Sourigues Angéline
2009-12-08,20:00,2009-12-03,M. Dupouy Serge
2009-12-08,20:00,2009-12-03,Mme Gillet Nelly
2009-12-08,20:00,2009-12-03,M. Fornier de Lachaux Jean
2009-12-08,20:00,2009-12-03,M. Lassalle Jean-Pierre
2009-12-08,20:00,2009-12-03,Mme Schaerer Fabienne
2009-12-08,20:00,2009-12-03,Mme Gardeils Valérie
2009-12-08,20:00,2009-12-03,M. Martinez Laurent
2010-06-08,20:00,2010-06-03,M. Fourcade Michel
2010-06-08,20:00,2010-06-03,M. Blanc-Simon Jean-Luc
2010-06-08,20:00,2010-06-03,Mme Sourigues Angéline
2010-06-08,20:00,2010-06-03,M. Dupouy Serge
2010-06-08,20:00,2010-06-03,Mme Gillet Nelly
2010-06-08,20:00,2010-06-03,M. Fornier de Lachaux Jean
2010-06-08,20:00,2010-06-03,M. Lassalle Jean-Pierre
2010-06-08,20:00,2010-06-03,M. Laporte Gilles
2010-06-08,20:00,2010-06-03,Mme Gardeils Valérie
2010-06-08,20:00,2010-06-03,M. Elineau Jean-Christophe
2009-09-08,20:00,2009-09-02,M. Fourcade Michel
2009-09-08,20:00,2009-09-02,M. Blanc-Simon Jean-Luc
2009-09-08,20:00,2009-09-02,Mme Sourigues Angéline
2009-09-08,20:00,2009-09-02,M. Dupouy Serge
2009-09-08,20:00,2009-09-02,Mme Gillet Nelly
2009-09-08,20:00,2009-09-02,M. Fornier de Lachaux Jean
2009-09-08,20:00,2009-09-02,M. Lassalle Jean-Pierre
2009-09-08,20:00,2009-09-02,Mme Schaerer Fabienne
2009-09-08,20:00,2009-09-02,M. Laporte Gilles
2009-09-08,20:00,2009-09-02,Mme Gardeils Valérie
2009-09-08,20:00,2009-09-02,M. Martinez Laurent
2009-09-08,20:00,2009-09-02,M. Elineau Jean-Christophe
2009-11-09,20:00,2009-11-05,M. Fourcade Michel
2009-11-09,20:00,2009-11-05,M. Blanc-Simon Jean-Luc
2009-11-09,20:00,2009-11-05,Mme Sourigues Angéline
2009-11-09,20:00,2009-11-05,M. Dupouy Serge
2009-11-09,20:00,2009-11-05,Mme Gillet Nelly
2009-11-09,20:00,2009-11-05,M. Fornier de Lachaux Jean
2009-11-09,20:00,2009-11-05,M. Lassalle Jean-Pierre
2009-11-09,20:00,2009-11-05,M. Marchal Alain
2009-11-09,20:00,2009-11-05,M. Laporte Gilles
2009-11-09,20:00,2009-11-05,Mme Gardeils Valérie
2009-11-09,20:00,2009-11-05,M. Martinez Laurent
2009-11-09,20:00,2009-11-05,M. Elineau Jean-Christophe
