pays,nom pap,auteur,titre,editeur,type,editeur trad,source
ALGÉRIE,Mohammed Dib,CHÉDID ANDRÉE,L’Étrange Mariée,Le Sorbier,Jeunesse,Enap,1990-2005.pdf
ALGÉRIE,Mohammed Dib,"CHESNOT CHRISTIAN, MALBRUNOT GEORGES & MAJID SAMAN ABDUL",Les Années Saddam,Fayard,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CHEVALLIER DOMINIQUE & MIQUEL ANDRÉ,Les Arabes. Du message à l’histoire,Fayard,Sciences Sociales et Humaines,Marinoor,1990-2005.pdf
ALGÉRIE,Mohammed Dib,COCHOY FRANCK,Une histoire du marketing,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,COHEN ÉLIE,Dictionnaire de gestion,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,COMBESSIE JEAN-CLAUDE,La Méthode en sociologie,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CORDELLIER SERGE,La Mondialisation au-delà des mythes,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CORDELLIER SERGE,Le Nouvel état du monde,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CORM GEORGES,Le Proche-Orient éclaté II,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,COUSOT PATRICK,Algorithmique et programmation Pascal,Ellipses,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CROCHEMORE JEAN,Menuiserie de la maison,Eyrolles,Sciences et Techniques,Chihab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CUCHE DENYS,La Notion de culture dans les sciences sociales,La Découverte/Syros,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CULLMAN HENRI,Comptabilité analytique,PUF,Sciences et Techniques,Bouchène,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DAHMANI AHMED,L’Algérie à l’épreuve,L’Harmattan,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DAYAN ARMAND,Le Marketing,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DEHEUVELS LUC-WILLY,Islam et pensée contemporaine en Algérie. La revue Al-Asâla,CNRS,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELANNOY CLAUDE,Exercices de Turbo Pascal. Maîtrisez DBSE IV,Eyrolles,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELEFOSSE JEAN & VENIEN JACQUES,Gros-Œuvre (tomes II et III),Eyrolles,Sciences et Techniques,Chihab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELFAUD PIERRE,Les Théories économiques,PUF,Sciences Sociales et Humaines,Bouchène,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELOYE YVES,La Sociologie historique du politique,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELSOL ROBERT,Techniques numériques,Cépaduès,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELUZURIEUX ALAIN & RAMI MICHEL,Problèmes d’électronique,Eyrolles,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DELUZURIEUX ALAIN & RAMI MICHEL,Problèmes d’électronique avec leurs solutions,Eyrolles,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DENIS PAUL & SCHAEFFER JACQUELINE,Sectes,PUF,Sciences Sociales et Humaines,SARP,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DEUTSCH GEORGES,Chauffage central,Eyrolles,Sciences et Techniques,Chihab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,Dib Mohammed ,Le Coeur insulaire,La Différence,Lettres,Marsa,1990-2005.pdf
ALGÉRIE,Mohammed Dib,Dib Mohammed ,La Grande Maison,Le Seuil,Lettres,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,Dib Mohammed ,L’Incendie,Le Seuil,Lettres,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,Dib Mohammed ,Le Métier à tisser,Le Seuil,Lettres,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,DORNIER ROGER,De l’analyse financière à l’expertise financière,Eyrolles,Sciences et Techniques,Chihab,1990-2005.pdf
